PeakID (cmd=annotatePeaks.pl ENCFF558YNC.bed mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Peak_42748	chr10	22821783	22821961	+	75	NA	Intergenic	Intergenic	-1744	NM_011545	21412	Mm.16497	NM_011545	ENSMUSG00000045680	Tcf21	Pod-1|Pod1|bHLHa23|capsulin|epc|epicardin	transcription factor 21	protein-coding
Peak_43413	chr5	125651416	125651590	+	75	NA	intron (NM_001190352, intron 3 of 8)	intron (NM_001190352, intron 3 of 8)	119085	NM_001190352	208151	Mm.40397	NM_001190352	ENSMUSG00000070498	Tmem132b	AK220418|mKIAA1786	transmembrane protein 132B	protein-coding
Peak_43636	chr8	15148076	15148221	+	75	NA	Intergenic	Intergenic	90495	NM_008664	17930	Mm.272115	NM_008664	ENSMUSG00000031461	Myom2	AW146149	myomesin 2	protein-coding
Peak_43152	chr17	85508317	85508486	+	75	NA	Intergenic	B1_Mus1|SINE|Alu	109995	NR_038082	100043902	Mm.150838	NR_015385	ENSMUSG00000093460	Six3os1	D17Mgi26|E130112H22Rik|Rncr1|Six3os	SIX homeobox 3, opposite strand 1	ncRNA
Peak_43153	chr17	85796979	85797306	+	75	NA	Intergenic	Intergenic	-108888	NM_011380	20472	Mm.5039	NM_011380	ENSMUSG00000024134	Six2	-	sine oculis-related homeobox 2	protein-coding
Peak_42505	chr12	33967219	33967414	+	75	NA	Intergenic	Intergenic	9645	NM_011658	22160	Mm.3280	NM_011658	ENSMUSG00000035799	Twist1	M-Twist|Pde|Ska10|Ska<m10Jus>|Twist|bHLHa38|pdt	twist basic helix-loop-helix transcription factor 1	protein-coding
Peak_43412	chr5	12385058	12385381	+	75	NA	intron (NM_028882, intron 1 of 17)	intron (NM_028882, intron 1 of 17)	2053	NM_028882	108151	Mm.89313	NM_028882	ENSMUSG00000040254	Sema3d	4631426B19Rik	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3D	protein-coding
Peak_42266	chr18	80706482	80706603	+	75	NA	intron (NM_198429, intron 1 of 9)	intron (NM_198429, intron 1 of 9)	1631	NM_016791	18018	Mm.329560	NM_016791	ENSMUSG00000033016	Nfatc1	2210017P03Rik|AI449492|AV076380|NF-ATc|NFAT2|NFATc|Nfatcb	nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 1	protein-coding
Peak_42206	chr9	48836615	48836768	+	75	NA	promoter-TSS (NM_001033324)	promoter-TSS (NM_001033324)	-746	NM_001033324	235320	Mm.457803	NM_001033324	ENSMUSG00000066687	Zbtb16	AI467657|PLZF|Zfp145|lu	zinc finger and BTB domain containing 16	protein-coding
Peak_43353	chr4	101716423	101716630	+	75	NA	promoter-TSS (NM_001122899)	promoter-TSS (NM_001122899)	-881	NM_146146	16847	Mm.259282	NM_010704	ENSMUSG00000057722	Lepr	LEPROT|Leprb|Modb1|OB-RGRP|Obr|db|diabetes|obese-like|obl	leptin receptor	protein-coding
Peak_43172	chr18	37265684	37265968	+	75	NA	exon (NM_053126, exon 1 of 1)	exon (NM_053126, exon 1 of 1)	828	NM_053126	93872	Mm.196703	NM_053126	ENSMUSG00000051663	Pcdhb1	PcdhbA	protocadherin beta 1	protein-coding
Peak_43452	chr5	84414954	84415363	+	75	NA	intron (NM_007937, intron 1 of 15)	intron (NM_007937, intron 1 of 15)	2224	NM_007937	13839	Mm.137991	NM_007937	ENSMUSG00000029245	Epha5	AI854630|AW125296|Cek7|Ehk1|Els1|Hek7|Rek7|bsk	Eph receptor A5	protein-coding
Peak_43176	chr18	42404120	42404290	+	75	NA	Intergenic	Intergenic	9608	NM_138945	18998	Mm.488204	NM_138945	ENSMUSG00000024497	Pou4f3	Brn3.1|Brn3c|ddl|dreidel	POU domain, class 4, transcription factor 3	protein-coding
Peak_42275	chr2	74681419	74681564	+	75	NA	promoter-TSS (NM_008273)	promoter-TSS (NM_008273)	-832	NM_008273	15431	Mm.207763	NM_008273	ENSMUSG00000042499	Hoxd11	E230017H14Rik|Hox-4.6|Hox-5.4|Hox-5.5	homeobox D11	protein-coding
Peak_42685	chr8	110363071	110363175	+	75	NA	intron (NM_172916, intron 9 of 86)	intron (NM_172916, intron 9 of 86)	96146	NM_172916	244653	Mm.444803	NM_172916	ENSMUSG00000059854	Hydin	1700034M11Rik|4930545D19Rik|4932703P14|672398|A830061H17|AC069308.21gm4|Gm9558|hy-3|hy3|hyrh	HYDIN, axonemal central pair apparatus protein	protein-coding
Peak_43633	chr8	14784944	14785125	+	75	NA	intron (NM_172910, intron 9 of 15)	RMER15|LTR|ERVL	-103502	NM_012000	26889	Mm.254027	NM_012000	ENSMUSG00000026317	Cln8	mnd	ceroid-lipofuscinosis, neuronal 8	protein-coding
Peak_43073	chr15	7803721	7803870	+	75	NA	Intergenic	Intergenic	-6253	NM_001301332	14573	Mm.4679	NM_010275	ENSMUSG00000022144	Gdnf	AI385739|ATF	glial cell line derived neurotrophic factor	protein-coding
Peak_43803	chrX	6777792	6777941	+	75	NA	Intergenic	(CAAAC)n|Simple_repeat|Simple_repeat	-95618	NM_177914	331374	Mm.392752	NM_177914	ENSMUSG00000062393	Dgkk	Gm360	diacylglycerol kinase kappa	protein-coding
Peak_43919	chr6	48589875	48590087	+	75	NA	exon (NM_183309, exon 2 of 2)	exon (NM_183309, exon 2 of 2)	536	NM_183309	330305	Mm.123868	NM_183309	ENSMUSG00000052730	Gm5111	A630038D02|EG330305	predicted gene 5111	protein-coding
Peak_43851	chr19	15797980	15798161	+	75	NA	Intergenic	Intergenic	126552	NM_001205339	107272	Mm.289936	NM_177420	ENSMUSG00000024640	Psat1	D8Ertd814e|EPIP|PSA|Psat	phosphoserine aminotransferase 1	protein-coding
Peak_43158	chr18	10912151	10912306	+	75	NA	Intergenic	Intergenic	-126676	NR_029781	723959		NR_029781	ENSMUSG00000106348	Mir1a-2	Mir1-2|Mirn1-2|mir-1a-2|mmu-mir-1-2|mmu-mir-1a-2	microRNA 1a-2	ncRNA
Peak_43520	chr7	109615168	109615341	+	75	NA	intron (NM_001001326, intron 1 of 19)	intron (NM_001001326, intron 1 of 19)	1314	NR_037617	76954	Mm.252009	NM_029811	ENSMUSG00000031024	St5	2010004M01Rik|2610305K15Rik	suppression of tumorigenicity 5	protein-coding
Peak_43734	chr8	88372026	88372188	+	75	NA	Intergenic	RLTR33|LTR|ERVK	-9916	NM_012047	26992	Mm.5400	NM_012047	ENSMUSG00000031660	Brd7	BP75|CELTIX1|Ptpn13ip	bromodomain containing 7	protein-coding
Peak_43191	chr18	76883078	76883189	+	75	NA	intron (NM_001109743, intron 6 of 8)	ID_B1|SINE|B4	26728	NM_001109743	664805	Mm.329543	NM_001109743	ENSMUSG00000091519	Skor2	Corl2|EG664805|Fussel18|Gm7348	SKI family transcriptional corepressor 2	protein-coding
Peak_44027	chr11	82384842	82384948	+	75	NA	Intergenic	Intergenic	-4005	NM_001304439	270893	Mm.341593	NM_023438	ENSMUSG00000020701	Tmem132e	Gm644	transmembrane protein 132E	protein-coding
Peak_42320	chr13	36732022	36732536	+	75	NA	intron (NM_153529, intron 1 of 2)	intron (NM_153529, intron 1 of 2)	2198	NM_153529	68404	Mm.232930	NM_153529	ENSMUSG00000039114	Nrn1	0710008J23Rik|Cpg15|Nrn	neuritin 1	protein-coding
Peak_44021	chr9	34935668	34935831	+	75	NA	intron (NM_001190913, intron 2 of 13)	Lx8|LINE|L1	-180979	NR_029475	78934	Mm.391688	NR_029475	ENSMUSG00000070315	4930581F22Rik	-	RIKEN cDNA 4930581F22 gene	ncRNA
Peak_43259	chr2	151631084	151631306	+	75	NA	intron (NM_001291076, intron 2 of 5)	intron (NM_001291076, intron 2 of 5)	1398	NM_001291076	241727	Mm.39312	NM_198214	ENSMUSG00000027457	Snph	6430515A01|AW045671|AW556958|AW743098|mKIAA0374	syntaphilin	protein-coding
Peak_42742	chr10	121122906	121123073	+	75	NA	Intergenic	Intergenic	79660	NR_152796	74647	Mm.370609	NR_152796	ENSMUSG00000112846	4930432O09Rik	-	RIKEN cDNA 4930432O09 gene	ncRNA
Peak_42591	chr14	70966866	70966973	+	75	NA	intron (NM_001302094, intron 4 of 7)	intron (NM_001302094, intron 4 of 7)	76812	NM_001302094	14586	Mm.32619	NM_008115	ENSMUSG00000022103	Gfra2	-	glial cell line derived neurotrophic factor family receptor alpha 2	protein-coding
Peak_42270	chr2	169599445	169599603	+	75	NA	Intergenic	Intergenic	-34122	NM_080455	228911	Mm.315789	NM_080455	ENSMUSG00000047907	Tshz2	2900073F20Rik|B830045G17|Mtsh2|Sdccag33l|Tsh2|Zfp218|mKIAA4248|teashirt2	teashirt zinc finger family member 2	protein-coding
Peak_44024	chr9	81628792	81628952	+	75	NA	Intergenic	Intergenic	-3058	NR_040395	319405	Mm.246494	NR_040393	ENSMUSG00000097466	D430036J16Rik	-	RIKEN cDNA D430036J16 gene	ncRNA
Peak_42284	chr5	110285010	110285237	+	75	NA	intron (NM_008993, intron 1 of 4)	intron (NM_008993, intron 1 of 4)	1045	NM_008993	19301	Mm.21853	NM_008993	ENSMUSG00000029499	Pxmp2	22kDa|PMP22	peroxisomal membrane protein 2	protein-coding
Peak_43107	chr16	52454047	52454310	+	75	NA	Intergenic	Intergenic	-1097	NM_009655	11658	Mm.288282	NM_009655	ENSMUSG00000022636	Alcam	AI853494|BEN|CD166|DM-GRASP|MuSC|SC1	activated leukocyte cell adhesion molecule	protein-coding
Peak_43301	chr3	108536043	108536183	+	75	NA	intron (NM_001358064, intron 1 of 21)	intron (NM_001358064, intron 1 of 21)	428	NM_001358065	229722	Mm.316890	NM_001033304	ENSMUSG00000040412	5330417C22Rik	BB183350	RIKEN cDNA 5330417C22 gene	protein-coding
Peak_43318	chr3	152666425	152666572	+	75	NA	promoter-TSS (NR_040386)	promoter-TSS (NR_040386)	-415	NR_040386	99542	Mm.394921	NR_040386	ENSMUSG00000097745	AI115009	-	expressed sequence AI115009	ncRNA
Peak_43304	chr3	121265052	121265289	+	75	NA	Intergenic	Intergenic	-1854	NM_178936	99887	Mm.26088	NM_178936	ENSMUSG00000028132	Tmem56	4930577M16Rik|AU018104|AW109744|C730036B01Rik	transmembrane protein 56	protein-coding
Peak_42778	chr10	84357557	84357808	+	75	NA	Intergenic	Intergenic	82789	NM_001004363	77976	Mm.25874	NM_001004363	ENSMUSG00000020032	Nuak1	AU014801|AW494241|B230104P22Rik|Omphk1	NUAK family, SNF1-like kinase, 1	protein-coding
Peak_42981	chr13	83524267	83524481	+	75	NA	promoter-TSS (NM_001347568)	promoter-TSS (NM_001347568)	-369	NM_001347580	17260	Mm.24001	NM_025282	ENSMUSG00000005583	Mef2c	5430401D19Rik|9930028G15Rik|AV011172|Mef2	myocyte enhancer factor 2C	protein-coding
Peak_43488	chr6	31239642	31239755	+	75	NA	intron (NR_040260, intron 1 of 5)	intron (NR_040260, intron 1 of 5)	19347	NR_040258	73652	Mm.441297	NR_040257	ENSMUSG00000087380	2210408F21Rik	-	RIKEN cDNA 2210408F21 gene	ncRNA
Peak_43160	chr18	13501388	13501596	+	75	NA	Intergenic	Intergenic	471241	NM_001360804	225207	Mm.40325	NM_145492	ENSMUSG00000024420	Zfp521	B930086A16Rik|Evi3|Znf521	zinc finger protein 521	protein-coding
Peak_43161	chr18	21383484	21383649	+	75	NA	Intergenic	Intergenic	-83427	NM_001033445	381126	Mm.312276	NM_001033445	ENSMUSG00000042680	Garem1	C86169|Fam59a|Garem|Gm944|mKIAA4238	GRB2 associated regulator of MAPK1 subtype 1	protein-coding
Peak_43097	chr16	24849811	24849949	+	75	NA	intron (NM_178665, intron 9 of 12)	intron (NM_178665, intron 9 of 12)	128025	NM_001145954	210126	Mm.209385	NM_178665	ENSMUSG00000033306	Lpp	9430020K16Rik|AA959454|AU024130|B130055L10Rik|C79715|D630048H16	LIM domain containing preferred translocation partner in lipoma	protein-coding
Peak_42337	chr4	120667414	120667669	+	75	NA	3' UTR (NM_019563, exon 1 of 1)	3' UTR (NM_019563, exon 1 of 1)	978	NM_019563	56222	Mm.272646	NM_019563	ENSMUSG00000070803	Cited4	MRG-2|Mrg2	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 4	protein-coding
Peak_42957	chr13	38153704	38154003	+	75	NA	intron (NM_023842, intron 1 of 23)	intron (NM_023842, intron 1 of 23)	2559	NM_023842	109620	Mm.355327	NM_023842	ENSMUSG00000054889	Dsp	2300002E22Rik|5730453H04Rik|AA407887|AA407888|AW109828|DP|rul	desmoplakin	protein-coding
Peak_42268	chr2	114014512	114014737	+	75	NA	intron (NR_028423, intron 1 of 4)	intron (NR_028423, intron 1 of 4)	-1005	NM_010290	14617	Mm.389394	NM_010290	ENSMUSG00000068615	Gjd2	Gja9|connexin36|cx36	gap junction protein, delta 2	protein-coding
Peak_43342	chr3	65110318	65110494	+	75	NA	intron (NM_010597, intron 1 of 13)	intron (NM_010597, intron 1 of 13)	1392	NM_010597	16497	Mm.316402	NM_010597	ENSMUSG00000027827	Kcnab1	Akr8a8|Kvbeta1.1|mKv(beta)1	potassium voltage-gated channel, shaker-related subfamily, beta member 1	protein-coding
Peak_42790	chr11	101372720	101372840	+	75	NA	exon (NM_008061, exon 3 of 5)	exon (NM_008061, exon 3 of 5)	5064	NM_008061	14377	Mm.18064	NM_008061	ENSMUSG00000078650	G6pc	AW107337|G6Pase|G6pt|Glc-6-Pase	glucose-6-phosphatase, catalytic	protein-coding
Peak_42334	chr2	74708533	74709256	+	75	NA	TTS (NM_008276)	TTS (NM_008276)	-3099	NM_010468	15434	Mm.430708	NM_010468	ENSMUSG00000079277	Hoxd3	Hox-4.1|Hox-5.5	homeobox D3	protein-coding
Peak_42951	chr13	23310322	23310455	+	75	NA	intron (NR_126444, intron 1 of 1)	intron (NR_126444, intron 1 of 1)	3019	NR_126444	75322	Mm.108666	NR_126443	ENSMUSG00000085488	4930557F10Rik	-	RIKEN cDNA 4930557F10 gene	ncRNA
Peak_42998	chr14	103441554	103441883	+	75	NA	Intergenic	Intergenic	-71623	NM_022886	64929	Mm.244003	NM_022886	ENSMUSG00000022123	Scel	9230114I02Rik	sciellin	protein-coding
Peak_43346	chr3	87241577	87241850	+	75	NA	Intergenic	MTE2b|LTR|ERVL-MaLR	21811	NM_030707	80891	Mm.45173	NM_030707	ENSMUSG00000015852	Fcrls	2810439C17Rik|9330158F12|FcRH2sc|Fcrh2|IFGP2|IgSR|MMAN-g|Msr2|moFcRH2sc	Fc receptor-like S, scavenger receptor	protein-coding
Peak_43004	chr1	41129859	41130098	+	75	NA	Intergenic	RSINE1|SINE|B4	51274	NR_040475	74897	Mm.243822	NR_040475	ENSMUSG00000104072	4930448I06Rik	-	RIKEN cDNA 4930448I06 gene	ncRNA
Peak_43018	chr14	48711386	48711536	+	75	NA	intron (NR_029384, intron 4 of 4)	intron (NR_029384, intron 4 of 4)	-15545	NR_154592	105245868		NR_154592		Gm48909	-	predicted gene, 48909	pseudo
Peak_42910	chr12	118853326	118853528	+	75	NA	TTS (NM_177082)	TTS (NM_177082)	7098	NM_177082	320145	Mm.51682	NM_177082	ENSMUSG00000048562	Sp8	D930049B17Rik|mBtd	trans-acting transcription factor 8	protein-coding
Peak_42914	chr12	24573557	24573755	+	75	NA	intron (NM_001161406, intron 1 of 15)	intron (NM_001161406, intron 1 of 15)	1369	NM_001161406	195733	Mm.263068	NM_145890	ENSMUSG00000020656	Grhl1	LBP-32|MGR|Tcfcp2l2	grainyhead like transcription factor 1	protein-coding
Peak_43460	chr6	109152606	109152786	+	75	NA	Intergenic	Intergenic	324055	NM_138677	192193	Mm.21596	NM_138677	ENSMUSG00000030104	Edem1	A130059K23Rik|EDEM|mKIAA0212	ER degradation enhancer, mannosidase alpha-like 1	protein-coding
Peak_42968	chr13	52248886	52249032	+	75	NA	Intergenic	Intergenic	152218	NR_045061	74050	Mm.84860	NR_045061	ENSMUSG00000113211	4921525O09Rik	-	RIKEN cDNA 4921525O09 gene	ncRNA
Peak_42546	chr12	110282886	110283265	+	75	NA	Intergenic	Intergenic	3845	NM_172119	107585	Mm.154427	NM_172119	ENSMUSG00000075707	Dio3	-	deiodinase, iodothyronine type III	protein-coding
Peak_43401	chr4	97578848	97578973	+	75	NA	intron (NR_015513, intron 1 of 2)	intron (NR_015513, intron 1 of 2)	-3033	NM_001122952	18027	Mm.31274	NM_010905	ENSMUSG00000028565	Nfia	1110047K16Rik|9430022M17Rik|CTF|NF1-A|NF1A	nuclear factor I/A	protein-coding
Peak_43378	chr4	47726201	47726318	+	75	NA	Intergenic	Intergenic	251598	NM_024171	66212	Mm.20188	NM_024171	ENSMUSG00000053317	Sec61b	1190006C12Rik|AI326121|AW122942	Sec61 beta subunit	protein-coding
Peak_43599	chr8	109491494	109491646	+	75	NA	Intergenic	MLT1J|LTR|ERVL-MaLR	-2457	NM_019938	56523	Mm.42166	NM_019938	ENSMUSG00000031727	Pmfbp1	1700016D22Rik|F77|Stap	polyamine modulated factor 1 binding protein 1	protein-coding
Peak_42197	chr6	48445918	48446192	+	75	NA	promoter-TSS (NM_001085415)	promoter-TSS (NM_001085415)	-230	NM_001355746	68910	Mm.2464	NM_020589	ENSMUSG00000068551	Zfp467	1190001I08Rik|AB041616|AI426952|AV017623|EZI|MNCb-3350|Znf467	zinc finger protein 467	protein-coding
Peak_43274	chr2	45183496	45183655	+	75	NA	Intergenic	Intergenic	-66133	NM_001355288	24136	Mm.440702	NM_015753	ENSMUSG00000026872	Zeb2	9130203F04Rik|D130016B08Rik|SIP1|Zfhx1b|Zfx1b|Zfxh1b	zinc finger E-box binding homeobox 2	protein-coding
Peak_43434	chr5	5375690	5375813	+	75	NA	intron (NM_011074, intron 1 of 14)	intron (NM_011074, intron 1 of 14)	4500	NM_011074	18647	Mm.389061	NM_011074	ENSMUSG00000028926	Cdk14	Pftk1|mKIAA0834	cyclin-dependent kinase 14	protein-coding
Peak_42394	chr14	28506622	28507123	+	75	NA	intron (NM_009524, intron 1 of 4)	intron (NM_009524, intron 1 of 4)	1399	NM_009524	22418	Mm.287544	NM_009524	ENSMUSG00000021994	Wnt5a	8030457G12Rik|Wnt-5a	wingless-type MMTV integration site family, member 5A	protein-coding
Peak_43674	chr8	36896557	36896667	+	75	NA	intron (NM_001194940, intron 2 of 17)	MTD|LTR|ERVL-MaLR	55830	NM_001194940	50768	Mm.125155	NM_015802	ENSMUSG00000031523	Dlc1	A730069N07Rik|Arhgap7|HP|STARD12|dlc-1	deleted in liver cancer 1	protein-coding
Peak_43324	chr3	156564036	156564337	+	75	NA	intron (NM_001039094, intron 1 of 6)	intron (NM_001039094, intron 1 of 6)	2392	NM_001039094	320840	Mm.317293	NM_177274	ENSMUSG00000040037	Negr1	5330422G01Rik|KILON|Ntra	neuronal growth regulator 1	protein-coding
Peak_42520	chr7	139894859	139895100	+	75	NA	5' UTR (NM_177261, exon 1 of 31)	5' UTR (NM_177261, exon 1 of 31)	283	NM_177261	76484	Mm.44442	NM_177261	ENSMUSG00000066129	Kndc1	2410012C07Rik|B830014K08Rik|VKIND|v-KIND|very-kind	kinase non-catalytic C-lobe domain (KIND) containing 1	protein-coding
Peak_42524	chr3	95996343	95996634	+	75	NA	promoter-TSS (NM_023320)	promoter-TSS (NM_023320)	-649	NM_023320	67220	Mm.458147	NM_023320	ENSMUSG00000015745	Plekho1	2810052M02Rik|CKIP-1|Ckip1|JZA-20|Jza2	pleckstrin homology domain containing, family O member 1	protein-coding
Peak_43320	chr3	153404054	153404182	+	75	NA	intron (NM_011372, intron 3 of 4)	intron (NM_011372, intron 3 of 4)	-105469	NR_126464	75489	Mm.443252	NR_126464	ENSMUSG00000105023	1700012D16Rik	-	RIKEN cDNA 1700012D16 gene	ncRNA
Peak_43677	chr8	41418016	41418174	+	75	NA	promoter-TSS (NM_013522)	promoter-TSS (NM_013522)	-977	NM_013522	14300	Mm.217312	NM_013522	ENSMUSG00000031590	Frg1	-	FSHD region gene 1	protein-coding
Peak_43539	chr7	133198413	133198689	+	75	NA	Intergenic	Intergenic	70300	NR_046279	74970	Mm.491044	NR_046279	ENSMUSG00000109816	4930483O08Rik	-	RIKEN cDNA 4930483O08 gene	ncRNA
Peak_44064	chr11	115369992	115370108	+	75	NA	Intergenic	ID4_|SINE|ID	-2294	NM_001346774	217310	Mm.205707	NM_175454	ENSMUSG00000034586	Hid1	C630004H02Rik	HID1 domain containing	protein-coding
Peak_42104	chr13	116709416	116709626	+	75	NA	Intergenic	Intergenic	128657	NR_153406	74680	Mm.488118	NR_153406	ENSMUSG00000114290	4930435F18Rik	-	RIKEN cDNA 4930435F18 gene	ncRNA
Peak_42339	chr4	46991133	46991680	+	75	NA	exon (NM_001081141, exon 1 of 19)	exon (NM_001081141, exon 1 of 19)	308	NM_001081141	242425	Mm.101909	NM_001081141	ENSMUSG00000039809	Gabbr2	GABABR2|Gb2|Gm425|Gpr51	gamma-aminobutyric acid (GABA) B receptor, 2	protein-coding
Peak_42638	chr2	76404808	76404996	+	75	NA	Intergenic	Intergenic	-1606	NM_001290733	99031	Mm.240435	NM_145525	ENSMUSG00000042359	Osbpl6	1110062M20Rik|AI596402|ORP-6|mKIAA4128	oxysterol binding protein-like 6	protein-coding
Peak_42101	chr12	110179632	110179974	+	75	NA	Intergenic	Intergenic	-21730	NR_045466	67280	Mm.390495	NR_045466	ENSMUSG00000113331	3110009F21Rik	-	RIKEN cDNA 3110009F21 gene	ncRNA
Peak_42478	chr7	120598830	120599067	+	75	NA	TTS (NR_024324)	TTS (NR_024324)	1323	NR_024324	78552	Mm.289190	NR_024324	ENSMUSG00000044141	E130201H02Rik	-	Y box protein 1 pseudogene	pseudo
Peak_42343	chr5	135090141	135090520	+	75	NA	intron (NM_001359237, intron 1 of 16)	intron (NM_001359237, intron 1 of 16)	440	NM_001359237	58805	Mm.34213	NM_021455	ENSMUSG00000005373	Mlxipl	ChREBP|Mlx|WS-bHLH|Wbscr14|bHLHd14	MLX interacting protein-like	protein-coding
Peak_42808	chr11	121414027	121414200	+	75	NA	Intergenic	B3A|SINE|B2	-7260	NM_181420	238024	Mm.117394	NM_181420	ENSMUSG00000039253	Fn3krp	FN3K-RP	fructosamine 3 kinase related protein	protein-coding
Peak_44039	chr11	70336922	70337030	+	75	NA	Intergenic	Intergenic	-14446	NM_145684	11685	Mm.274093	NM_145684	ENSMUSG00000018907	Alox12e	12-LOX|8-LOX|AW259591|Alox12-ps1|Alox12-ps2|Aloxe|e-LOX1	arachidonate lipoxygenase, epidermal	protein-coding
Peak_44007	chr7	51624245	51624509	+	75	NA	promoter-TSS (NM_001355150)	promoter-TSS (NM_001355150)	-260	NM_001355150	140919	Mm.256618	NM_080853	ENSMUSG00000030500	Slc17a6	2900073D12Rik|DNPI|VGLUT2	solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 6	protein-coding
Peak_42142	chr5	151192206	151192404	+	75	NA	Intergenic	Intergenic	-2112	NR_153382	243362	Mm.209272	NM_146258	ENSMUSG00000016128	Stard13	DLC2|GT650	StAR-related lipid transfer (START) domain containing 13	protein-coding
Peak_43109	chr16	65296451	65296704	+	75	NA	Intergenic	MLTR14|LTR|ERV1	-190793	NM_008310	15557	Mm.5040	NM_008310	ENSMUSG00000050783	Htr1f	Htr1eb	5-hydroxytryptamine (serotonin) receptor 1F	protein-coding
Peak_43608	chr8	112216451	112216594	+	75	NA	Intergenic	Intergenic	205163	NM_020584	57321	Mm.213064	NM_020584	ENSMUSG00000033430	Terf2ip	Rap1	telomeric repeat binding factor 2, interacting protein	protein-coding
Peak_42097	chr1	126815395	126815553	+	75	NA	intron (NM_176957, intron 1 of 12)	intron (NM_176957, intron 1 of 12)	15158	NM_001081756	210356	Mm.377234	NM_172484	ENSMUSG00000049690	Nckap5	8430408F21|D130011D22Rik|E030049G20Rik|Erih1|Erih2|Gm1548|Nap5	NCK-associated protein 5	protein-coding
Peak_43611	chr8	114688500	114688722	+	75	NA	intron (NM_019573, intron 6 of 8)	intron (NM_019573, intron 6 of 8)	248959	NM_019573	80707	Mm.440420	NM_019573	ENSMUSG00000004637	Wwox	5330426P09Rik|9030416C10Rik|WOX1	WW domain-containing oxidoreductase	protein-coding
Peak_43134	chr17	59599307	59599521	+	75	NA	Intergenic	Intergenic	-586092	NM_026497	67993	Mm.36507	NM_026497	ENSMUSG00000024228	Nudt12	0610016O18Rik	nudix (nucleoside diphosphate linked moiety X)-type motif 12	protein-coding
Peak_42342	chr5	127243396	127243606	+	75	NA	intron (NM_175432, intron 1 of 8)	intron (NM_175432, intron 1 of 8)	1675	NM_175432	208213	Mm.444235	NM_175432	ENSMUSG00000034324	Tmem132c	2810482M11Rik|3230401P16|4632425D07Rik	transmembrane protein 132C	protein-coding
Peak_43208	chr19	16040213	16040373	+	75	NA	Intergenic	Intergenic	55218	NR_045355	100502653	Mm.149980	NR_045355	ENSMUSG00000097557	C130060C02Rik	-	RIKEN cDNA C130060C02 gene	ncRNA
Peak_43764	chr9	32539193	32539314	+	75	NA	intron (NM_008026, intron 1 of 8)	intron (NM_008026, intron 1 of 8)	2199	NM_008026	14247	Mm.258908	NM_008026	ENSMUSG00000016087	Fli1	EWSR2|Fli-1|SIC-1|Sic1	Friend leukemia integration 1	protein-coding
Peak_43704	chr8	61758849	61759207	+	75	NA	intron (NM_001293772, intron 2 of 21)	intron (NM_001293772, intron 2 of 21)	1070	NM_001293773	72333	Mm.29933	NM_001081390	ENSMUSG00000058056	Palld	2410003B16Rik|6030492A02	palladin, cytoskeletal associated protein	protein-coding
Peak_43700	chr8	57345315	57345434	+	75	NA	intron (NR_131041, intron 2 of 2)	intron (NR_131041, intron 2 of 2)	12939	NR_131041	75996	Mm.399754	NR_131041	ENSMUSG00000097910	5033428I22Rik	-	RIKEN cDNA 5033428I22 gene	ncRNA
Peak_44046	chr1	93513677	93513806	+	75	NA	intron (NM_145519, intron 1 of 26)	MIR|SINE|MIR	1637	NM_145519	227377	Mm.243091	NM_145519	ENSMUSG00000034066	Farp2	AI465173|BC009153|D030026M03Rik|Fir|mKIAA0793	FERM, RhoGEF and pleckstrin domain protein 2	protein-coding
Peak_42279	chr3	99238772	99239249	+	75	NA	Intergenic	Intergenic	-14750	NM_009323	21384	Mm.88761	NM_009323	ENSMUSG00000027868	Tbx15	Tbx14|Tbx8|de	T-box 15	protein-coding
Peak_43651	chr8	24594381	24594512	+	75	NA	intron (NM_008324, intron 1 of 9)	B4|SINE|B4	1220	NM_001293690	15930	Mm.392	NM_008324	ENSMUSG00000031551	Ido1	Ido|Indo	indoleamine 2,3-dioxygenase 1	protein-coding
Peak_42346	chr6	52248827	52249009	+	75	NA	intron (NR_015348, intron 4 of 4)	intron (NR_015348, intron 4 of 4)	-3108	NM_010450	15396	Mm.26954	NM_010450	ENSMUSG00000038210	Hoxa11	Hox-1.9|Hoxa-11	homeobox A11	protein-coding
Peak_42188	chr3	99253669	99253833	+	75	NA	promoter-TSS (NM_009323)	promoter-TSS (NM_009323)	-9	NM_009323	21384	Mm.88761	NM_009323	ENSMUSG00000027868	Tbx15	Tbx14|Tbx8|de	T-box 15	protein-coding
Peak_43908	chr17	46489877	46490082	+	75	NA	Intergenic	B4A|SINE|B4	-2304	NM_001162864	106763	Mm.297613	NM_175351	ENSMUSG00000015599	Ttbk1	AU017937|AW048023|C330008L01Rik	tau tubulin kinase 1	protein-coding
